start end
14.08 41.16
46.8 47.88
48.68 54.96
56.6 57.88
79.08 80.16
82.08 83.4
86.84 88.12
93.72 95.2
100.4 152.92
156.64 157.88
158.68 174.12
175.0 191.2
192.32 200.48
208.64 214.12
215.32 231.6
232.16 245.56
246.32 270.2
276.84 278.68
289.28 290.88
298.12 301.16
302.48 305.6
324.24 337.12
337.64 349.08
349.68 379.72
380.4 410.32
411.36 414.52
415.56 417.24
427.04 428.08
433.48 435.56
444.92 447.72
449.64 451.0
463.52 524.88
525.44 548.0
568.32 595.4
597.72 598.8
599.64 601.44
604.76 648.72
660.08 725.52
726.2 728.2
729.72 751.88
752.52 772.4
784.48 809.04
809.6 821.56
823.88 825.8
828.56 830.44
832.88 837.92
839.24 840.92
845.68 847.16
848.8 852.6
855.56 857.8
864.56 866.84
868.68 869.84
871.0 872.0
875.72 877.08
894.08 897.68
927.72 932.04
935.12 1004.64
1005.4 1083.44
1084.08 1087.64
1088.48 1141.76
1144.8 1150.28
1150.8 1152.0
1153.16 1154.76
1157.84 1159.68
1178.8 1186.44
1186.96 1302.76
1305.44 1375.48
1376.4 1379.96
1394.52 1428.0
1429.68 1430.68
1434.32 1456.16
1468.08 1481.32
1482.12 1535.16
1539.88 1577.48
1578.36 1605.8
1608.32 1622.84
1626.28 1627.64
1641.44 1688.44
1690.2 1704.16
1704.84 1722.12
1723.0 1737.04
1739.4 1797.72
1798.64 1842.44
1845.88 1847.6
1849.0 1869.84
1870.76 1888.6
1893.08 1894.92
1902.96 1904.84
1909.96 1911.52
1916.28 1918.64
1921.24 1923.4
1926.28 1927.36
1932.96 1935.0
1938.88 1940.52
1962.52 1963.88
1970.24 1972.44
1973.16 1979.36
1979.92 1996.04
1996.64 1999.88
2001.04 2028.44
2029.0 2030.56
2031.16 2035.92
2036.96 2039.36
2041.84 2044.16
2045.44 2046.6000000000001
