FILENAME	OFFSET	CONF
00000.avi	-15	2.321
00001.avi	2	2.091
00002.avi	1	5.961
00003.avi	2	5.687
00004.avi	2	4.119
00005.avi	13	0.729
00006.avi	2	2.380
00007.avi	2	1.543
00008.avi	2	3.622
00009.avi	15	1.329
00010.avi	1	5.777
00011.avi	1	8.046
00012.avi	-15	0.898
00013.avi	2	4.137
00014.avi	2	5.621
00015.avi	2	4.858
00016.avi	1	5.253
00017.avi	-15	1.332
00018.avi	2	2.307
00019.avi	2	6.157
00020.avi	1	4.263
00021.avi	1	5.503
00022.avi	2	4.205
00023.avi	2	4.452
00024.avi	2	5.335
00025.avi	2	6.405
00026.avi	2	4.770
00027.avi	1	5.266
00028.avi	2	4.196
00029.avi	1	4.489
00030.avi	1	5.422
00031.avi	1	6.741
00032.avi	1	5.323
00033.avi	1	4.327
00034.avi	-15	0.168
00035.avi	1	4.335
00036.avi	1	7.376
00037.avi	1	4.876
00038.avi	1	4.210
00039.avi	4	0.177
00040.avi	1	3.344
00041.avi	1	7.350
00042.avi	1	4.016
