start end
15.16 18.48
65.76 68.32
85.12 87.04
103.56 105.24
111.04 112.72
113.24 114.44
153.04 157.24
160.88 164.96
172.24 174.48
180.92 182.32
185.44 188.24
189.92 192.48
195.72 197.32
216.12 218.2
233.6 235.08
238.24 242.52
265.6 272.48
283.24 285.64
339.48 344.28
346.88 348.04
355.64 357.88
360.76 364.92
366.04 367.04
378.04 379.96
380.48 386.64
389.16 392.88
402.04 406.6
407.4 412.32
419.92 421.8
430.68 444.84
451.32 454.16
454.72 462.36
463.4 468.48
487.04 488.12
508.68 509.92
510.64 514.96
527.76 532.08
546.64 551.84
559.0 560.44
570.64 576.12
580.0 581.48
614.56 618.0
622.84 624.32
638.84 643.8
646.96 648.88
655.04 656.52
682.08 683.84
684.8 687.8
688.44 689.88
712.24 714.0
716.72 721.48
724.16 730.16
742.52 751.8
753.48 755.28
755.92 762.48
