FILENAME	OFFSET	CONF
00000.avi	0	4.346
00001.avi	1	3.248
00002.avi	1	2.670
00003.avi	1	4.072
00004.avi	-15	2.798
00005.avi	1	4.695
00006.avi	1	6.364
00007.avi	1	5.339
00008.avi	1	2.296
00009.avi	1	3.861
00010.avi	15	0.772
00011.avi	1	6.808
00012.avi	1	4.971
00013.avi	14	0.628
00014.avi	1	1.389
00015.avi	15	1.610
00016.avi	1	5.376
00017.avi	1	5.725
00018.avi	1	4.222
00019.avi	1	6.443
00020.avi	-15	0.806
00021.avi	1	4.391
00022.avi	-15	0.893
00023.avi	12	0.878
00024.avi	-10	1.822
00025.avi	-15	2.257
00026.avi	-15	2.487
00027.avi	-5	1.149
00028.avi	-11	1.579
00029.avi	-6	1.074
00030.avi	11	1.020
00031.avi	8	1.053
00032.avi	-15	1.062
00033.avi	-15	0.752
00034.avi	-15	1.974
00035.avi	15	1.732
00036.avi	8	1.272
00037.avi	-15	1.766
00038.avi	8	0.592
00039.avi	-3	1.177
00040.avi	12	1.841
00041.avi	10	0.853
00042.avi	-12	1.840
00043.avi	5	1.366
00044.avi	-15	3.125
00045.avi	15	1.473
00046.avi	12	0.869
00047.avi	-11	2.128
00048.avi	-14	1.029
00049.avi	-13	1.817
00050.avi	15	1.140
00051.avi	8	1.374
00052.avi	-15	1.294
00053.avi	9	0.716
00054.avi	-10	1.809
00055.avi	-11	1.533
00056.avi	15	2.542
00057.avi	15	1.523
00058.avi	4	0.649
00059.avi	-3	1.511
00060.avi	-15	1.925
00061.avi	-14	2.500
00062.avi	15	1.609
00063.avi	3	1.168
