Frame Rate:,25.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.040,0.3281430844907407,0.17347547743055555,0.3223470052083333,0.4886067708333333
2,00:00:00.080,3.6506257233796298,1.9049479166666667,3.8260091145833335,5.220920138888889
3,00:00:00.120,3.500226056134259,2.0209147135416665,3.628173828125,4.851589626736111
4,00:00:00.160,3.580873842592592,2.050998263888889,3.7677408854166665,4.923882378472222
5,00:00:00.200,3.8190013744212963,2.2947319878472223,3.9688856336805554,5.193386501736111
6,00:00:00.240,3.3418330439814814,2.1080457899305554,3.519259982638889,4.398193359375
7,00:00:00.280,3.7889811197916665,2.448757595486111,3.9547526041666665,4.963433159722222
8,00:00:00.320,3.639133029513889,2.4051920572916665,3.7740342881944446,4.738172743055555
9,00:00:00.360,3.525987413194444,2.1776529947916665,3.7185601128472223,4.681749131944445
10,00:00:00.400,3.6235532407407405,2.1356065538194446,3.7484266493055554,4.986626519097222
11,00:00:00.440,4.0909197771990735,2.3768717447916665,4.468831380208333,5.427056206597222
12,00:00:00.480,6.441722728587963,5.562337239583333,5.602267795138889,8.160563151041666
13,00:00:00.520,4.201253255208333,1.9637586805555556,4.725694444444445,5.914306640625
14,00:00:00.560,3.9760380497685186,2.0457085503472223,4.450520833333333,5.431884765625
15,00:00:00.600,3.829490379050926,1.98876953125,4.207845052083333,5.291856553819445
16,00:00:00.640,3.7329191984953702,1.916259765625,4.099148220486111,5.183349609375
17,00:00:00.680,3.3863841869212963,1.6244574652777777,3.8135850694444446,4.721110026041667
18,00:00:00.720,3.173828125,1.3887532552083333,3.650661892361111,4.482069227430555
19,00:00:00.760,3.0094853153935186,1.2769639756944444,3.5165473090277777,4.234944661458333
20,00:00:00.800,3.2719274450231484,1.833251953125,3.671142578125,4.311387803819445
21,00:00:00.840,3.7123119212962963,2.331298828125,3.9894205729166665,4.816216362847222
22,00:00:00.880,3.396240234375,2.2129720052083335,3.7039388020833335,4.271809895833333
23,00:00:00.920,3.6167353877314814,2.0204535590277777,4.211886935763889,4.617865668402778
24,00:00:00.960,3.902461299189815,4.883409288194445,2.1818033854166665,4.642171223958333
25,00:00:01.000,4.081913700810186,1.8923068576388888,4.913492838541667,5.43994140625
26,00:00:01.040,4.5456362123842595,2.222873263888889,5.474419487847222,5.939615885416667
27,00:00:01.080,3.900273075810185,1.9681532118055556,4.581353081597222,5.151312934027778
28,00:00:01.120,3.3737973813657405,1.9219563802083333,3.8033311631944446,4.396104600694445
29,00:00:01.160,3.508608217592592,2.128173828125,3.9203287760416665,4.477322048611111
30,00:00:01.200,3.622314453125,2.117919921875,4.061197916666667,4.687825520833333
31,00:00:01.240,3.268428096064815,2.2987196180555554,3.4573296440972223,4.049235026041667
32,00:00:01.280,3.3219401041666665,2.0620659722222223,3.3018391927083335,4.601915147569445
33,00:00:01.320,4.482421875,2.7799207899305554,4.530164930555555,6.137179904513889
34,00:00:01.360,4.600305627893519,2.66748046875,4.843207465277778,6.290228949652778
35,00:00:01.400,4.150191695601852,2.0196126302083335,4.512613932291667,5.918348524305555
36,00:00:01.440,6.742585358796297,5.977132161458333,5.636664496527778,8.613959418402779
37,00:00:01.480,5.52271412037037,2.2181260850694446,6.382893880208333,7.967122395833333
38,00:00:01.520,5.226888020833333,2.2409125434027777,5.949245876736111,7.490505642361111
39,00:00:01.560,4.295563874421297,1.9448513454861112,4.705349392361111,6.236490885416667
40,00:00:01.600,4.7275390625,2.4688856336805554,5.008490668402778,6.705240885416667
41,00:00:01.640,4.95972583912037,2.4905327690972223,5.335123697916667,7.053521050347222
42,00:00:01.680,4.8642578125,2.8596733940972223,5.012152777777778,6.720947265625
43,00:00:01.720,5.1314471209490735,2.7396918402777777,5.536919487847222,7.117730034722222
44,00:00:01.760,5.2766294126157405,2.7431640625,5.8642578125,7.222466362847222
45,00:00:01.800,4.690312138310186,2.5579698350694446,5.065728081597222,6.447238498263889
46,00:00:01.840,4.748734085648149,2.4676106770833335,5.192192925347222,6.586398654513889
47,00:00:01.880,4.855143229166667,2.4818522135416665,5.383544921875,6.700032552083333
48,00:00:01.920,4.413058810763888,5.743950737847222,2.3494466145833335,5.145779079861111
49,00:00:01.960,3.9029224537037037,2.0220811631944446,4.215250651041667,5.471435546875
50,00:00:02.000,4.1085431134259265,2.2110188802083335,4.432590060763889,5.682020399305555
51,00:00:02.040,4.12476490162037,2.509060329861111,4.243679470486111,5.621554904513889
52,00:00:02.080,3.055447048611111,1.7154947916666667,3.2549913194444446,4.195855034722222
53,00:00:02.120,2.953549985532407,1.8797471788194444,3.118408203125,3.8624945746527777
54,00:00:02.160,2.5118724681712963,1.5794813368055556,2.7405327690972223,3.215603298611111
55,00:00:02.200,2.415961371527778,1.7193196614583333,2.477267795138889,3.051296657986111
56,00:00:02.240,2.505841290509259,1.7064344618055556,2.5542534722222223,3.2568359375
57,00:00:02.280,1.5350115740740742,0.9686414930555556,1.59912109375,2.0372721354166665
58,00:00:02.320,2.981300636574074,1.8130967881944444,3.1353895399305554,3.9954155815972223
59,00:00:02.360,1.8403049045138886,1.3304578993055556,1.8966200086805556,2.2938368055555554
60,00:00:02.400,4.246473524305556,4.882676866319445,2.8913031684027777,4.965440538194445
61,00:00:02.440,1.7762496383101853,1.1844618055555556,1.8546549479166667,2.2896321614583335
62,00:00:02.480,2.184714988425926,1.2803819444444444,2.3419053819444446,2.931857638888889
63,00:00:02.520,2.37158203125,1.5172797309027777,2.472384982638889,3.1250813802083335
64,00:00:02.560,2.272578486689815,1.6296929253472223,2.3224283854166665,2.8656141493055554
65,00:00:02.600,2.1533926504629632,1.3283420138888888,2.303493923611111,2.828342013888889
66,00:00:02.640,2.540409794560185,1.6189778645833333,2.7007378472222223,3.301513671875
67,00:00:02.680,60.902334707754626,65.83330620659723,50.214518229166664,66.6591796875
68,00:00:02.720,3.465558087384259,3.4339735243055554,3.364284939236111,3.598415798611111
69,00:00:02.760,3.3779839409722228,3.2027723524305554,3.2577582465277777,3.6734212239583335
70,00:00:02.800,3.4575104890046298,3.47314453125,3.2421061197916665,3.6572808159722223
71,00:00:02.840,3.3159089265046298,3.2059733072916665,3.146728515625,3.5950249565972223
72,00:00:02.880,3.3149142795138893,5.997965494791667,1.0995822482638888,2.847195095486111
73,00:00:02.920,3.1753381799768516,2.5394965277777777,3.223117404513889,3.763400607638889
74,00:00:02.960,3.23388671875,2.643039279513889,3.4018012152777777,3.6568196614583335
75,00:00:03.000,3.523075810185185,2.894070095486111,3.7497016059027777,3.9254557291666665
76,00:00:03.040,4.464283130787037,4.169026692708333,4.540717230902778,4.68310546875
77,00:00:03.080,5.2588885271990735,4.350640190972222,6.080349392361111,5.345675998263889
78,00:00:03.120,4.342809606481481,3.9444715711805554,4.507866753472222,4.576090494791667
79,00:00:03.160,3.9065845630787037,3.3707139756944446,4.011040581597222,4.337999131944445
80,00:00:03.200,3.7901204427083335,3.1695149739583335,4.112494574652778,4.088351779513889
81,00:00:03.240,3.919551142939815,3.2017957899305554,4.338243272569445,4.218614366319445
82,00:00:03.280,4.4755859375,3.7910698784722223,5.043348524305555,4.592339409722222
83,00:00:03.320,4.84007884837963,4.301730685763889,5.233561197916667,4.984944661458333
84,00:00:03.360,6.4286114728009265,6.874701605902778,6.128851996527778,6.282280815972222
85,00:00:03.400,5.591417100694444,5.393283420138889,5.842583550347222,5.538384331597222
86,00:00:03.440,5.458848741319444,5.682671440972222,5.494194878472222,5.199679904513889
87,00:00:03.480,5.037245008680556,5.267713758680555,5.012179904513889,4.831841362847222
88,00:00:03.520,4.574589482060184,4.843939887152778,4.474934895833333,4.404893663194445
89,00:00:03.560,3.8766637731481484,3.6626790364583335,3.8155924479166665,4.151719835069445
90,00:00:03.600,3.366834852430556,3.390163845486111,3.1453721788194446,3.564968532986111
91,00:00:03.640,2.2403247974537037,1.7326388888888888,2.3615180121527777,2.6268174913194446
92,00:00:03.680,2.2102141203703707,1.8537055121527777,2.2524956597222223,2.524441189236111
93,00:00:03.720,53.70006872106482,58.256130642361114,52.14366319444444,50.700412326388886
94,00:00:03.760,1.2453251591435184,1.4032118055555556,1.0589192708333333,1.2738444010416667
