FILENAME	OFFSET	CONF
00000.avi	-2	4.794
00001.avi	14	0.963
00002.avi	-15	0.856
00003.avi	-15	0.699
00004.avi	-3	1.634
00005.avi	-15	3.943
00006.avi	-2	5.199
00007.avi	15	1.727
00008.avi	-2	6.493
00009.avi	-15	2.039
00010.avi	15	2.367
00011.avi	-15	1.838
00012.avi	-2	3.265
00013.avi	0	1.327
00014.avi	-15	0.597
00015.avi	-2	3.617
00016.avi	-1	3.638
00017.avi	0	1.479
00018.avi	-2	3.942
00019.avi	15	1.689
00020.avi	-2	2.570
00021.avi	-2	4.522
00022.avi	-2	3.053
00023.avi	-6	0.940
00024.avi	6	1.362
00025.avi	-15	0.407
00026.avi	-2	6.690
00027.avi	-2	5.108
00028.avi	-2	6.389
00029.avi	-13	0.936
00030.avi	-1	2.795
00031.avi	-1	4.318
00032.avi	-11	0.947
00033.avi	-1	2.658
00034.avi	12	0.749
00035.avi	13	0.817
00036.avi	15	1.458
00037.avi	-13	0.865
00038.avi	13	0.472
00039.avi	14	0.884
00040.avi	-2	4.803
00041.avi	-2	5.881
00042.avi	14	0.892
00043.avi	-2	3.760
00044.avi	-1	2.872
00045.avi	-2	2.662
00046.avi	-8	0.493
00047.avi	-1	6.067
00048.avi	0	4.347
00049.avi	-1	3.738
00050.avi	-2	4.173
00051.avi	-1	4.626
00052.avi	-1	4.798
00053.avi	-1	4.288
00054.avi	15	2.106
00055.avi	-2	5.804
00056.avi	15	0.421
00057.avi	-1	5.104
00058.avi	-2	6.216
00059.avi	-1	5.919
00060.avi	-2	6.017
00061.avi	15	1.874
00062.avi	-15	1.643
00063.avi	-1	2.925
00064.avi	-1	4.474
00065.avi	-1	4.428
00066.avi	-2	5.347
00067.avi	-10	0.814
00068.avi	-1	2.712
00069.avi	-14	3.515
00070.avi	-1	1.819
00071.avi	-1	2.765
00072.avi	-4	0.456
00073.avi	-2	4.658
00074.avi	0	1.521
00075.avi	-2	3.376
00076.avi	-1	4.848
00077.avi	15	2.609
00078.avi	15	2.422
00079.avi	9	0.930
00080.avi	15	0.960
00081.avi	-5	0.645
00082.avi	-2	5.207
00083.avi	-1	2.650
00084.avi	-1	4.579
00085.avi	-1	3.743
00086.avi	15	2.902
00087.avi	14	0.737
00088.avi	-15	0.667
00089.avi	12	1.420
00090.avi	-1	4.053
00091.avi	9	1.575
00092.avi	-2	3.892
00093.avi	-2	2.614
00094.avi	-1	2.087
00095.avi	-1	2.904
00096.avi	-2	3.141
00097.avi	-2	2.335
00098.avi	-10	3.024
00099.avi	8	0.344
00100.avi	7	0.456
00101.avi	-4	0.267
00102.avi	-1	2.836
00103.avi	-2	5.027
00104.avi	11	0.631
00105.avi	0	2.641
00106.avi	-2	4.699
00107.avi	-2	2.954
00108.avi	-2	3.055
00109.avi	14	1.861
00110.avi	-12	1.039
00111.avi	-2	1.243
00112.avi	-15	1.526
00113.avi	-11	0.956
00114.avi	-14	1.198
00115.avi	-14	1.585
00116.avi	-15	1.084
00117.avi	14	2.513
00118.avi	7	1.408
00119.avi	3	0.795
