FILENAME	OFFSET	CONF
00000.avi	2	0.408
00001.avi	15	2.380
00002.avi	9	1.229
00003.avi	11	1.475
00004.avi	2	1.494
00005.avi	1	5.331
00006.avi	2	3.612
00007.avi	2	2.106
00008.avi	2	4.947
00009.avi	2	3.406
00010.avi	12	0.776
00011.avi	15	1.460
00012.avi	10	0.397
00013.avi	15	0.443
00014.avi	2	1.535
00015.avi	2	4.364
00016.avi	1	2.633
00017.avi	2	3.741
00018.avi	2	3.465
00019.avi	-15	2.174
00020.avi	1	2.640
00021.avi	-13	0.777
00022.avi	2	0.809
00023.avi	-15	0.786
00024.avi	2	3.455
00025.avi	2	4.904
00026.avi	-11	0.693
00027.avi	-1	0.450
00028.avi	2	4.637
00029.avi	1	4.839
00030.avi	1	3.828
00031.avi	2	4.430
00032.avi	6	0.737
00033.avi	-15	1.746
00034.avi	1	0.605
00035.avi	-14	0.947
00036.avi	2	4.687
00037.avi	-10	0.914
00038.avi	1	3.661
00039.avi	2	1.857
00040.avi	-13	1.457
00041.avi	-9	1.585
00042.avi	15	1.157
00043.avi	15	3.198
00044.avi	1	0.809
00045.avi	-7	0.593
00046.avi	-14	0.856
00047.avi	-5	0.561
