start end
6.2 33.12
53.52 55.36
62.44 63.68
70.48 88.08
88.92 93.0
93.72 102.04
111.28 116.88
119.16 120.64
121.76 123.8
124.36 131.96
132.56 140.68
141.2 144.08
144.6 147.04
150.08 152.2
157.04 174.04
175.44 185.88
195.24 197.4
199.52 235.72
255.2 276.72
277.36 285.92
288.48 289.68
306.0 316.56
317.44 324.04
325.2 328.48
329.08 334.08
335.4 337.72
338.56 340.0
340.56 345.92
346.72 353.76
355.28 356.68
358.2 363.6
381.6 383.08
391.4 404.84
405.8 425.36
425.92 437.76
440.84 442.16
454.44 458.32
459.24 493.08
494.28 499.52
510.44 511.76
516.64 546.68
547.6 549.72
550.72 564.6800000000001
