Frame Rate:,25.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.040,3.5351743344907405,2.345241970486111,3.16748046875,5.092800564236111
2,00:00:00.080,3.8095522280092595,2.4892578125,3.595974392361111,5.343424479166667
3,00:00:00.120,4.249755859375,2.98388671875,3.8822699652777777,5.883110894097222
4,00:00:00.160,3.7078450520833335,2.7882486979166665,3.3745659722222223,4.960720486111111
5,00:00:00.200,3.2596752025462963,2.461941189236111,2.989474826388889,4.327609592013889
6,00:00:00.240,3.2587167245370376,2.3782552083333335,3.0091145833333335,4.388780381944445
7,00:00:00.280,3.5212764033564814,2.544406467013889,3.2665201822916665,4.752902560763889
8,00:00:00.320,3.7119140625,2.722927517361111,3.174289279513889,5.238525390625
9,00:00:00.360,3.2773889612268516,2.3648817274305554,2.89892578125,4.568359375
10,00:00:00.400,3.5294325086805554,2.583034939236111,2.9745279947916665,5.030734592013889
11,00:00:00.440,3.399531611689815,2.2682020399305554,3.0536295572916665,4.876763237847222
12,00:00:00.480,6.058313440393519,5.359809027777778,3.4889051649305554,9.326226128472221
13,00:00:00.520,3.3313259548611107,2.4107801649305554,2.7009819878472223,4.882215711805555
14,00:00:00.560,3.2914315682870368,2.415256076388889,2.7036675347222223,4.75537109375
15,00:00:00.600,3.1345938223379632,2.2853190104166665,2.621066623263889,4.497395833333333
16,00:00:00.640,3.0959563078703702,2.264892578125,2.539523654513889,4.483452690972222
17,00:00:00.680,2.8769892939814814,2.0608452690972223,2.3377278645833335,4.232394748263889
18,00:00:00.720,2.9226164641203702,2.0753038194444446,2.4791666666666665,4.21337890625
19,00:00:00.760,2.721417462384259,1.8910590277777777,2.380886501736111,3.892306857638889
20,00:00:00.800,2.9441279658564814,1.91650390625,2.6292860243055554,4.286593967013889
21,00:00:00.840,4.014431423611112,2.5814887152777777,3.5137803819444446,5.948025173611111
22,00:00:00.880,3.5770128038194446,2.3049858940972223,3.222927517361111,5.203125
23,00:00:00.920,4.376048900462963,2.9292805989583335,3.7356770833333335,6.463189019097222
24,00:00:00.960,6.9281231915509265,5.707221137152778,4.449951171875,10.627197265625
25,00:00:01.000,4.468523943865741,3.1596137152777777,3.8194715711805554,6.426486545138889
26,00:00:01.040,4.5625,3.385986328125,3.8199598524305554,6.481553819444445
27,00:00:01.080,5.146728515625,3.9961480034722223,4.325059678819445,7.118977864583333
28,00:00:01.120,5.13548900462963,4.096272786458333,4.335177951388889,6.975016276041667
29,00:00:01.160,4.879557291666667,4.069308810763889,4.130615234375,6.438747829861111
30,00:00:01.200,4.599980107060185,3.8592664930555554,3.9646809895833335,5.975992838541667
31,00:00:01.240,4.7138852719907405,3.9652235243055554,4.025146484375,6.151285807291667
32,00:00:01.280,4.758264612268519,3.8091634114583335,4.074761284722222,6.390869140625
33,00:00:01.320,4.78345630787037,3.8727484809027777,4.126925998263889,6.350694444444445
34,00:00:01.360,5.415825737847221,4.183349609375,4.659206814236111,7.404920789930555
35,00:00:01.400,5.4261610243055545,4.142903645833333,4.770562065972222,7.365017361111111
36,00:00:01.440,7.476236979166667,6.356825086805555,5.333767361111111,10.738118489583334
37,00:00:01.480,5.071225766782407,3.7197808159722223,4.497178819444445,6.996717664930555
38,00:00:01.520,4.690067997685184,3.300048828125,4.259602864583333,6.510552300347222
39,00:00:01.560,4.796214916087963,3.697726779513889,4.188123914930555,6.502794053819445
40,00:00:01.600,4.307888454861111,3.0887586805555554,4.001139322916667,5.833767361111111
41,00:00:01.640,4.1344220196759265,3.110595703125,3.717312282986111,5.575358072916667
42,00:00:01.680,3.738308376736111,2.6904839409722223,3.428738064236111,5.095703125
43,00:00:01.720,3.4795735677083335,2.507785373263889,3.307373046875,4.623562282986111
44,00:00:01.760,3.409242983217592,2.7565104166666665,3.172878689236111,4.29833984375
45,00:00:01.800,4.207148799189815,3.3296983506944446,3.927707248263889,5.364040798611111
46,00:00:01.840,4.2409848813657405,3.5077582465277777,3.8995768229166665,5.315619574652778
47,00:00:01.880,4.87330005787037,3.5665690104166665,4.649061414930555,6.404269748263889
48,00:00:01.920,7.103099681712963,5.970920138888889,5.344211154513889,9.99416775173611
49,00:00:01.960,4.934642650462963,3.4288736979166665,4.625623914930555,6.749430338541667
50,00:00:02.000,5.117693865740741,3.5563422309027777,4.892198350694445,6.904541015625
51,00:00:02.040,5.22779224537037,3.774441189236111,4.948540581597222,6.960394965277778
52,00:00:02.080,5.3410463686342595,3.7982042100694446,5.033935546875,7.190999348958333
53,00:00:02.120,5.249448423032407,3.885281032986111,4.662326388888889,7.200737847222222
54,00:00:02.160,4.67579029224537,3.5008951822916665,4.012641059027778,6.513834635416667
55,00:00:02.200,5.001672815393519,3.6943901909722223,4.433322482638889,6.877305772569445
56,00:00:02.240,5.645381221064814,4.086181640625,5.022976345486111,7.826985677083333
57,00:00:02.280,4.742748119212963,3.5277777777777777,4.343560112847222,6.356906467013889
58,00:00:02.320,4.833857783564814,3.5478515625,4.464436848958333,6.489284939236111
59,00:00:02.360,4.94239185474537,3.5643446180555554,4.348822699652778,6.914008246527778
60,00:00:02.400,6.5687029803240735,5.597629123263889,4.670328776041667,9.438151041666666
61,00:00:02.440,4.3401059751157405,3.0594889322916665,3.9472113715277777,6.013617621527778
62,00:00:02.480,5.3130063657407405,3.709445529513889,4.961561414930555,7.268012152777778
63,00:00:02.520,4.735297309027778,3.2738715277777777,4.435519748263889,6.496500651041667
64,00:00:02.560,4.359176070601852,3.0596516927083335,3.9954698350694446,6.022406684027778
65,00:00:02.600,4.097746672453703,2.8570421006944446,3.695773654513889,5.740424262152778
66,00:00:02.640,3.8425112123842595,2.800021701388889,3.6039496527777777,5.123562282986111
67,00:00:02.680,4.2287778501157405,3.271457248263889,3.8557671440972223,5.559109157986111
68,00:00:02.720,4.658085575810185,3.4622395833333335,4.12060546875,6.391411675347222
69,00:00:02.760,4.928873697916667,3.6666395399305554,4.241509331597222,6.878472222222222
70,00:00:02.800,4.996365017361111,3.797824435763889,4.230875651041667,6.960394965277778
71,00:00:02.840,4.927363642939815,3.9988606770833335,4.0439453125,6.739284939236111
72,00:00:02.880,6.660816333912038,6.125434027777778,4.414686414930555,9.442328559027779
73,00:00:02.920,3.9242983217592595,3.209933810763889,3.5452202690972223,5.017740885416667
74,00:00:02.960,4.348949291087963,3.7355414496527777,3.8700358072916665,5.441270616319445
75,00:00:03.000,3.9965277777777772,3.5467122395833335,3.6495768229166665,4.793294270833333
76,00:00:03.040,4.191333912037037,3.6572265625,3.744900173611111,5.171875
