start end
0.24 3.4
50.24 72.48
74.68 96.2
99.48 106.12
107.12 134.68
137.12 146.76
151.88 196.24
205.36 226.32
236.96 274.4
275.08 306.88
310.16 311.88
315.64 317.24
333.88 345.96
348.6 380.36
384.0 410.92
430.96 449.32
450.08 455.0
459.44 471.08
473.84 488.76
489.28 519.56
522.76 530.12
530.8 532.32
559.6 592.44
593.68 617.48
621.76 670.44
674.92 735.84
736.84 738.48
739.28 741.76
742.52 744.36
745.0 746.2
747.2 751.8
788.36 828.44
831.32 842.88
854.0 868.56
869.08 910.36
911.0 917.04
934.88 942.6
1018.68 1022.24
1026.04 1057.96
1061.36 1071.44
1075.08 1080.0
1080.68 1093.52
1096.72 1121.92
1125.84 1127.32
1127.84 1130.36
1130.92 1155.16
1156.08 1174.88
1218.68 1247.0
1250.32 1265.2
1301.64 1311.48
1315.96 1326.2
1328.2 1349.28
1349.84 1350.96
1351.84 1353.04
1356.12 1362.24
1363.04 1365.36
1370.68 1374.24
1377.28 1383.88
1399.48 1413.12
1415.68 1419.44
1440.48 1442.32
1452.84 1453.84
1459.8 1461.48
1465.92 1476.84
1480.84 1488.2
1489.64 1494.44
1495.24 1500.12
1503.36 1505.56
1506.16 1511.16
1519.08 1550.16
1551.28 1554.48
1556.76 1559.84
1565.44 1568.96
1569.64 1576.92
1582.8 1589.92
1598.96 1601.52
1604.64 1619.68
1620.92 1630.64
1635.48 1648.4
1654.04 1655.92
1656.68 1657.68
1658.64 1660.32
1662.76 1665.04
1665.88 1677.32
1679.92 1681.44
1682.0 1691.32
1694.08 1697.44
1701.12 1702.36
1713.72 1721.32
1723.44 1733.16
1735.52 1747.32
1748.52 1749.92
1750.56 1761.16
1762.28 1763.32
1764.52 1769.36
1772.08 1775.44
1776.16 1777.92
1779.6 1782.52
1783.32 1784.92
1789.16 1790.16
1791.08 1797.8
1800.04 1817.44
