FILENAME	OFFSET	CONF
00000.avi	-1	4.199
00001.avi	0	1.794
00002.avi	-1	6.828
00003.avi	-1	8.316
00004.avi	-1	8.036
00005.avi	0	7.854
00006.avi	-1	7.758
00007.avi	-1	7.008
00008.avi	-1	8.133
00009.avi	-1	6.909
00010.avi	0	6.613
00011.avi	14	0.193
00012.avi	0	6.637
00013.avi	-1	7.202
00014.avi	0	7.311
00015.avi	-1	7.857
00016.avi	0	1.594
00017.avi	-1	8.182
00018.avi	15	1.805
00019.avi	-1	8.135
00020.avi	0	7.166
00021.avi	-1	6.705
00022.avi	-12	0.215
00023.avi	-1	8.743
00024.avi	0	7.286
00025.avi	0	7.275
00026.avi	-1	7.522
00027.avi	-15	1.854
00028.avi	-1	6.934
00029.avi	0	9.599
00030.avi	-1	7.516
00031.avi	0	3.112
00032.avi	-1	8.349
00033.avi	0	8.205
00034.avi	-1	6.802
00035.avi	15	1.040
00036.avi	0	6.289
00037.avi	-1	8.034
00038.avi	0	8.520
00039.avi	-1	7.456
00040.avi	-1	2.202
00041.avi	0	4.996
00042.avi	-15	0.503
00043.avi	-1	7.981
00044.avi	0	8.285
00045.avi	-1	7.289
00046.avi	15	0.865
00047.avi	-1	8.048
00048.avi	15	0.216
00049.avi	-1	7.978
00050.avi	0	7.929
00051.avi	-1	7.245
00052.avi	0	8.085
00053.avi	0	6.399
00054.avi	15	0.239
00055.avi	0	6.085
00056.avi	0	7.171
00057.avi	15	1.311
00058.avi	-1	8.928
00059.avi	0	6.111
00060.avi	-1	7.595
00061.avi	15	1.139
00062.avi	-1	6.662
00063.avi	-1	6.492
00064.avi	0	8.212
00065.avi	-1	7.631
00066.avi	0	3.658
00067.avi	-1	7.985
00068.avi	0	7.860
00069.avi	0	0.820
00070.avi	-1	8.836
00071.avi	-1	8.085
00072.avi	15	1.145
00073.avi	7	1.102
00074.avi	-1	6.785
00075.avi	-1	6.399
00076.avi	-1	8.127
00077.avi	0	4.758
00078.avi	-1	4.739
00079.avi	0	3.617
00080.avi	-1	6.004
00081.avi	-1	2.997
00082.avi	-1	6.636
00083.avi	0	2.878
00084.avi	0	4.359
00085.avi	-1	6.078
00086.avi	0	2.411
00087.avi	-1	3.894
00088.avi	15	2.107
00089.avi	0	2.195
00090.avi	1	3.646
00091.avi	-1	4.906
00092.avi	-1	6.760
00093.avi	-1	7.294
00094.avi	-1	2.248
00095.avi	-1	7.023
00096.avi	-14	1.001
00097.avi	0	5.272
00098.avi	-1	4.736
00099.avi	12	0.779
00100.avi	-1	8.428
00101.avi	0	1.863
00102.avi	-1	7.263
00103.avi	0	5.033
00104.avi	15	1.353
00105.avi	-1	4.925
00106.avi	0	1.120
00107.avi	-1	5.701
00108.avi	-1	4.944
00109.avi	0	2.982
00110.avi	-1	2.645
00111.avi	0	1.762
00112.avi	0	5.040
00113.avi	0	5.127
00114.avi	0	7.093
00115.avi	-15	1.155
00116.avi	0	6.338
00117.avi	15	0.527
00118.avi	0	5.989
00119.avi	0	3.650
00120.avi	0	4.451
00121.avi	0	4.133
00122.avi	0	5.644
00123.avi	0	8.923
00124.avi	-4	2.175
00125.avi	0	7.276
00126.avi	-13	1.856
00127.avi	0	6.677
00128.avi	0	5.671
00129.avi	-6	2.319
00130.avi	0	4.571
00131.avi	15	1.714
00132.avi	0	9.266
00133.avi	-5	0.515
00134.avi	0	6.946
00135.avi	0	3.902
00136.avi	0	7.048
00137.avi	0	5.672
00138.avi	0	5.690
00139.avi	0	1.488
00140.avi	0	6.238
00141.avi	0	6.762
00142.avi	0	6.223
