start end
3.8 6.12
28.04 30.68
54.72 72.8
74.36 90.12
91.92 107.08
109.56 114.36
134.36 136.36
140.32 156.76
159.2 167.64
168.76 185.48
187.76 199.04
206.48 210.24
213.0 225.2
227.04 237.68
239.64 260.16
284.12 287.56
292.2 313.28
315.64 324.12
326.2 331.24
344.76 347.56
359.8 398.32
400.4 448.48
480.76 483.08
486.72 498.12
504.76 513.12
516.04 531.44
533.64 590.4
599.8 641.88
643.72 681.32
682.92 685.56
687.2 692.52
696.48 718.68
741.48 769.32
778.6 781.4
800.6 838.92
852.88 874.84
900.96 930.72
933.08 1016.96
1024.12 1026.44
1027.64 1053.44
1058.08 1085.4
1130.76 1173.64
1203.6 1211.24
1242.8 1245.0
1250.2 1254.16
1258.04 1273.8
1290.76 1293.24
1297.4 1369.8
