start end
130.0 137.8
224.24 226.6
307.2 310.6
390.92 394.12
423.64 432.72
511.96 515.96
521.04 525.84
542.76 546.52
600.28 603.4
672.96 678.16
725.36 733.24
873.6 883.72
891.48 896.32
1016.16 1024.96
1107.72 1113.4
1247.12 1253.52
1260.44 1263.44
1323.8 1328.96
1382.4 1385.0
1403.88 1414.4
1444.6 1450.96
1535.04 1551.0
1613.84 1619.36
1695.76 1706.0
1743.88 1746.0
1748.08 1754.36
1857.36 1859.72
1928.8 1934.12
1961.08 1971.36
1978.76 1981.0
2052.0 2061.32
2089.12 2099.64
2207.32 2214.04
2216.2 2218.32
