start end
176.88 181.12
207.0 210.76
230.32 233.52
267.44 269.96
342.68 345.28
367.92 371.92
403.64 407.16
468.72 471.72
509.12 512.72
561.16 566.68
604.88 607.0
715.44 719.2
723.44 728.52
821.32 826.84
896.08 898.32
906.48 910.52
939.24 944.64
998.04 1001.0
1003.64 1006.4
1008.68 1014.0
1095.4 1098.6
1176.24 1180.08
1303.0 1308.2
1322.48 1324.68
1334.52 1341.28
1360.48 1364.88
1383.96 1389.2
1424.96 1427.64
1465.72 1469.4
1496.84 1501.36
1534.2 1538.44
1547.96 1550.64
1606.2 1610.28
1622.64 1624.76
1673.8 1678.64
1699.08 1708.72
1713.4 1716.0
1733.16 1742.32
1784.04 1787.68
1796.32 1799.08
1876.84 1879.8
1884.6 1890.08
1895.92 1899.0
1906.84 1911.44
1949.52 1953.52
2009.48 2013.48
2062.4 2066.08
2136.0 2140.64
2177.52 2180.96
2205.44 2212.6
2306.6 2309.96
2334.04 2339.76
2375.24 2381.76
2397.16 2403.68
2412.08 2414.32
2522.76 2525.32
