start end
15.72 59.0
61.16 81.92
86.6 88.68
94.76 97.36
104.88 107.6
236.72 239.04
281.36 283.68
359.28 361.88
423.04 426.92
492.24 494.72
510.6 514.04
515.76 519.88
527.04 530.52
536.4 539.72
616.0 620.56
629.64 631.64
636.24 638.56
665.08 667.16
715.56 718.44
787.28 789.76
862.72 866.4
969.04 973.6
1063.92 1066.0
1331.52 1333.52
1351.84 1355.68
1416.44 1419.6
1425.76 1427.88
1431.12 1437.44
1544.28 1546.6
1548.72 1551.24
1557.88 1561.48
1618.6 1622.8
1625.68 1628.64
1712.6 1716.64
1727.76 1730.72
1737.04 1741.84
1752.88 1756.76
1759.64 1764.64
1770.52 1775.72
1778.6 1783.32
1793.36 1797.92
1962.52 1964.72
1969.48 1972.84
2348.12 2350.92
2358.4 2364.92
2367.44 2370.6
2376.32 2381.56
2388.2 2391.88
2393.56 2398.88
2493.48 2496.12
2500.44 2503.56
2606.24 2609.4
2612.68 2615.36
2640.64 2642.64
2650.76 2653.32
2660.4 2662.64
2678.68 2683.28
2689.48 2693.04
2697.92 2701.56
2706.52 2710.16
2715.76 2718.84
2720.96 2727.88
2730.96 2734.2
2738.6 2743.88
2748.16 2750.6
2944.2 2946.4
3004.72 3007.16
3009.32 3011.32
3021.6 3025.92
3051.52 3054.44
3129.36 3131.48
3149.92 3151.96
3270.76 3304.08
