start end
0.0 3.72
6.2 27.96
30.76 54.64
107.16 109.48
114.44 134.28
136.44 140.24
156.84 159.12
185.56 187.68
199.12 206.4
210.32 212.92
260.24 278.64
280.04 284.04
287.64 292.12
313.36 315.56
331.32 344.68
347.64 359.72
448.56 480.68
483.16 486.64
498.2 504.68
513.2 515.96
531.52 533.56
590.48 599.72
692.6 696.4
718.76 741.4
769.4 778.52
781.48 788.52
790.4 800.52
839.0 852.8
874.92 886.24
887.96 900.88
930.8 933.0
1017.04 1024.04
1053.52 1058.0
1085.48 1130.68
1173.72 1200.2
1211.32 1242.72
1245.08 1250.12
1254.24 1257.96
1273.88 1290.68
1293.32 1297.32
1369.88 1381.8
