start end
128.2 137.84
224.24 226.6
307.2 310.6
390.92 396.6
423.24 432.72
511.96 525.84
543.12 546.52
600.28 603.4
672.96 676.6
725.36 733.24
874.44 876.6
879.52 883.72
891.48 896.32
1016.16 1024.96
1107.72 1113.4
1192.36 1195.04
1246.76 1253.52
1260.44 1263.44
1326.04 1328.96
1382.4 1385.0
1403.88 1410.72
1411.4 1414.4
1444.6 1450.96
1535.04 1551.0
1613.84 1617.88
1695.76 1706.0
1743.88 1746.0
1748.08 1754.36
1930.84 1934.12
1961.08 1971.36
1978.76 1980.96
2052.0 2066.6
2089.12 2099.64
2207.32 2214.04
2216.2 2218.32
