start end
126.72 134.96
136.76 141.72
144.72 148.48
150.8 153.96
155.0 176.8
181.2 183.88
187.72 191.92
193.6 206.92
210.84 217.0
220.44 223.72
226.48 236.2
239.36 249.8
253.68 275.64
281.32 289.16
308.08 332.52
335.76 342.6
346.36 348.56
350.92 357.92
359.68 367.84
372.0 388.48
391.48 403.56
407.24 411.44
414.88 431.48
435.0 441.92
444.72 461.76
464.6 466.6
468.72 497.16
500.2 509.04
512.8 525.32
528.72 533.16
534.2 537.92
539.8 548.48
551.68 555.32
556.88 561.08
566.76 575.56
580.16 583.44
584.6 595.68
598.84 604.8
712.64 721.72
735.48 739.2
745.56 759.92
761.36 766.8
771.08 782.32
786.48 798.92
801.84 811.72
815.4 821.24
821.84 844.76
850.16 873.92
878.68 883.44
885.76 889.28
893.4 896.0
900.0 909.24
910.6 913.16
916.0 926.56
930.6 939.16
941.52 953.28
955.36 975.44
979.28 984.48
986.72 997.96
1008.68 1027.64
1031.96 1039.76
1045.08 1048.8
1052.8 1067.96
1071.64 1073.84
1078.16 1081.96
1084.92 1089.16
1092.48 1104.36
1106.08 1120.2
1139.8 1144.84
1145.48 1160.4
1164.96 1183.84
1187.88 1205.68
1207.68 1216.44
1219.16 1226.92
1231.52 1250.84
1254.68 1258.08
1261.52 1270.8
1278.68 1284.68
1288.8 1302.92
1304.76 1322.4
1325.52 1330.08
1332.04 1352.28
1356.6 1360.4
1364.96 1374.4
1379.12 1383.88
1392.36 1417.96
1421.16 1423.72
1427.72 1434.44
1440.24 1456.36
1462.04 1465.64
1469.48 1478.8
1484.96 1508.24
1512.72 1516.36
1519.04 1525.44
1527.12 1534.12
1538.52 1545.16
1551.84 1565.4
1573.08 1580.24
1586.08 1606.12
1610.36 1618.88
1624.84 1632.8
1642.08 1646.36
1650.24 1653.16
1657.08 1683.0
1684.8 1689.76
1692.48 1699.0
1708.8 1713.32
1716.12 1733.08
1742.4 1750.52
1759.24 1777.04
1778.4 1787.24
1787.76 1796.24
1799.16 1813.88
1817.24 1826.08
1836.44 1840.84
1842.24 1849.12
1853.6 1862.04
1867.76 1876.76
1879.88 1884.52
1901.6 1905.16
1911.52 1925.36
1930.2 1949.44
1950.36 1953.24
1953.6 1958.92
1962.36 1966.32
1966.76 1985.56
1986.84 1992.0
1993.2 2023.88
2027.6 2042.72
2046.64 2053.24
2055.2 2062.32
2066.16 2071.64
2075.92 2086.44
2091.4 2099.64
2102.16 2118.88
2125.16 2135.92
2140.72 2163.68
2166.4 2168.92
2171.32 2177.44
2181.04 2187.24
2189.32 2195.08
2198.76 2207.24
2212.68 2217.12
2218.88 2236.92
2241.88 2253.32
2256.68 2262.76
2264.36 2279.16
2282.68 2288.32
2293.84 2306.52
2310.04 2312.56
2314.08 2323.72
2327.08 2333.56
2334.04 2352.2
2355.72 2375.16
2381.84 2397.08
2400.24 2406.4
2416.36 2421.16
2424.32 2440.84
2442.52 2446.56
2449.56 2474.24
2476.08 2493.44
2496.4 2521.72
2525.4 2544.96
2547.08 2563.12
2565.4 2576.56
2578.56 2586.84
2591.52 2603.6
2605.68 2623.48
2624.84 2630.84
