start end
59.08 61.08
82.96 85.4
91.4 93.48
100.36 102.88
110.4 113.44
115.64 118.8
119.28 140.56
141.6 147.16
149.12 168.24
169.44 176.96
179.88 192.36
195.52 204.12
208.88 217.04
221.12 235.12
240.8 248.4
250.92 259.24
262.44 268.2
271.52 280.6
283.76 308.56
312.56 316.04
321.36 332.92
334.12 344.64
346.84 353.2
356.36 359.2
361.96 370.32
373.44 384.04
387.2 433.12
435.96 457.96
462.96 475.92
477.36 492.16
494.8 510.52
522.36 526.96
530.6 534.12
539.8 545.6
546.48 553.28
554.64 567.8
571.32 574.64
578.04 584.24
586.92 607.76
610.64 614.92
624.36 627.8
631.72 636.16
638.64 640.88
645.12 659.04
661.68 665.0
667.24 694.32
697.16 703.2
707.0 714.28
719.88 724.16
726.52 747.36
748.52 769.6
773.04 785.68
789.84 793.72
795.56 809.0
812.68 820.24
823.6 834.92
838.4 848.36
851.12 856.8
858.84 862.64
866.48 873.32
874.8 909.56
913.24 920.24
923.48 950.44
952.44 968.96
973.68 983.12
987.16 997.4
999.2 1012.84
1016.12 1031.08
1033.04 1042.84
1045.68 1060.84
1066.08 1086.04
1088.24 1095.04
1099.6 1114.76
1120.36 1130.08
1134.48 1149.64
1153.0 1164.56
1167.8 1177.76
1179.76 1183.64
1190.44 1200.52
1209.16 1211.56
1218.12 1225.6
1227.8 1233.52
1242.52 1263.64
1266.6 1284.92
1286.84 1307.72
1311.0 1329.6
1333.6 1347.12
1357.52 1377.64
1379.0 1400.8
1406.4 1415.32
1421.68 1424.64
1440.44 1484.16
1487.72 1511.56
1514.36 1532.24
1534.72 1542.4
1551.32 1557.0
1568.56 1578.08
1581.16 1606.0
1610.44 1618.52
1622.88 1625.6
1630.6 1652.16
1653.76 1657.2
1660.64 1666.04
1667.56 1700.56
1703.24 1710.24
1717.8 1727.68
1730.8 1736.96
1741.92 1747.48
1750.64 1752.8
1756.84 1759.56
1764.72 1770.44
1775.8 1778.52
1785.16 1793.28
1799.84 1831.56
1835.72 1841.72
1843.68 1850.68
1854.52 1864.2
1867.96 1885.96
1889.52 1891.88
1893.28 1899.84
1900.72 1935.56
1940.92 1958.6
1966.8 1969.4
1972.92 1979.6
1980.84 2023.08
2025.08 2048.32
2050.56 2053.12
2054.92 2071.04
2072.6 2077.24
2080.48 2090.76
2094.32 2123.2
2126.96 2137.16
2141.36 2167.36
2168.8 2173.4
2178.04 2202.8
2205.48 2216.76
2218.0 2223.0
2224.48 2235.48
2241.68 2253.44
2256.88 2261.48
2265.36 2275.28
2281.92 2310.32
2313.8 2329.04
2331.92 2345.04
2354.44 2356.56
2365.0 2367.36
2370.68 2376.24
2381.64 2388.12
2398.96 2401.4
2404.08 2420.92
2424.56 2429.96
2432.12 2434.56
2443.8 2446.36
2448.08 2467.52
2470.52 2482.92
2488.12 2493.4
2496.2 2499.16
2503.64 2522.56
2525.84 2559.28
2562.36 2572.52
2574.88 2576.88
2578.76 2582.6
2585.64 2599.96
2609.48 2612.6
2617.12 2637.76
2645.08 2650.68
2653.4 2660.32
2662.72 2667.28
2668.64 2678.6
2685.0 2689.4
2695.6 2697.84
2703.4 2706.44
2727.96 2730.88
2743.96 2746.08
2750.68 2759.88
2761.0 2768.68
2773.16 2792.76
2797.16 2802.92
2806.72 2830.12
2834.64 2840.56
2842.88 2861.36
2864.32 2869.8
2874.56 2901.12
2907.52 2923.76
2926.92 2937.76
2939.48 2944.12
2946.48 2961.16
2963.32 2985.0
2986.24 2995.52
2997.48 3004.64
3007.24 3009.24
3011.4 3014.0
3017.24 3019.56
3026.0 3032.0
3034.2 3041.8
3043.32 3046.4
3047.36 3051.44
3055.44 3070.64
3074.68 3083.84
3085.08 3087.64
3089.6 3096.32
3099.68 3129.28
3133.52 3149.84
3152.04 3167.52
3169.32 3173.12
3175.2 3186.12
3188.64 3206.0
3207.6 3221.92
3223.44 3234.72
3238.16 3257.2
3262.56 3269.76
