start end
30.64 38.96
40.96 80.48
83.56 88.32
91.88 116.48
120.28 142.16
145.24 159.0
164.36 176.12
176.92 187.04
190.36 201.2
204.36 234.8
236.12 258.68
260.08 302.56
304.0 306.76
311.24 319.0
321.32 334.44
337.84 357.04
358.56 404.92
410.44 417.68
421.12 425.08
426.2 477.12
480.36 487.64
492.4 495.56
501.0 529.96
539.64 543.88
560.12 563.2
566.16 583.56
587.28 597.84
601.32 608.64
617.96 634.96
636.44 648.4
651.56 676.36
678.72 687.68
689.08 693.24
695.48 734.0
736.0 738.04
742.8 754.88
760.64 773.24
774.28 781.08
783.64 807.92
809.6 820.68
826.88 861.44
865.48 872.92
873.96 877.76
880.92 912.68
916.28 921.32
924.16 938.56
951.68 958.28
966.64 968.72
979.08 987.16
991.52 1029.68
1033.4 1046.08
1047.88 1050.2
1051.8 1053.88
1055.32 1059.16
1060.6 1074.44
1079.0 1106.68
1109.08 1122.64
1126.56 1130.04
1134.6 1137.24
1138.4 1150.96
1154.2 1159.36
1163.08 1167.84
1169.52 1177.96
1179.76 1184.12
1188.28 1223.8
1228.92 1241.2
1242.96 1252.32
1257.44 1267.44
1270.92 1282.88
1284.84 1287.12
1290.44 1295.08
1299.56 1301.72
1311.76 1317.44
1319.56 1326.4
1332.48 1356.68
1358.08 1364.32
1367.44 1373.52
1377.52 1382.12
1385.32 1416.28
1417.72 1435.76
1439.56 1498.08
1506.32 1510.28
1521.32 1546.12
1549.12 1568.44
1572.44 1578.08
1587.64 1593.56
1610.64 1613.72
1628.16 1634.56
1636.4 1638.56
1640.64 1645.48
1647.28 1659.88
1660.72 1664.08
1668.6 1673.04
1674.84 1720.32
1725.8 1785.32
1788.48 1813.28
1814.4 1823.16
1827.24 1856.68
1858.16 1860.72
1874.4 1882.64
1884.24 1921.68
1923.68 1961.04
1963.84 1984.48
1987.2 1992.08
1996.52 1998.72
2002.28 2018.76
2021.52 2035.84
2040.52 2043.04
2043.96 2046.16
2054.88 2057.48
2062.0 2064.92
2074.64 2091.2
2093.68 2097.2
2098.88 2101.76
2106.4 2108.88
2111.24 2119.72
2122.84 2131.12
2134.4 2137.48
2138.08 2144.44
2145.72 2148.28
2149.96 2163.96
2167.88 2171.92
2176.36 2180.08
2182.12 2196.52
2202.68 2205.16
2208.68 2288.64
2292.32 2316.8
2320.8 2356.56
2358.6 2361.2
2364.04 2373.24
2377.24 2379.28
2382.44 2393.6
2396.64 2407.76
2411.2 2441.72
2447.4 2450.52
2452.64 2455.96
2456.56 2459.04
2471.16 2473.16
